external_event_id,external_member_id,occurred_at,event_type
e1,M-DECLINE,2026-06-07T17:10:00+05:00,check_in
e2,M-DECLINE,2026-06-08T18:10:00+05:00,check_in
e3,M-DECLINE,2026-06-09T19:10:00+05:00,check_in
e4,M-DECLINE,2026-06-10T20:10:00+05:00,check_in
e5,M-DECLINE,2026-06-14T17:10:00+05:00,check_in
e6,M-DECLINE,2026-06-15T18:10:00+05:00,check_in
e7,M-DECLINE,2026-06-16T19:10:00+05:00,check_in
e8,M-DECLINE,2026-06-17T20:10:00+05:00,check_in
e9,M-DECLINE,2026-06-21T17:10:00+05:00,check_in
e10,M-DECLINE,2026-06-22T18:10:00+05:00,check_in
e11,M-DECLINE,2026-06-23T19:10:00+05:00,check_in
e12,M-DECLINE,2026-06-24T20:10:00+05:00,check_in
e13,M-DECLINE,2026-06-28T17:10:00+05:00,check_in
e14,M-DECLINE,2026-06-29T18:10:00+05:00,check_in
e15,M-DECLINE,2026-06-30T19:10:00+05:00,check_in
e16,M-DECLINE,2026-07-01T20:10:00+05:00,check_in
e17,M-DECLINE,2026-07-05T17:10:00+05:00,check_in
e18,M-DECLINE,2026-07-06T18:10:00+05:00,check_in
e19,M-DECLINE,2026-07-07T19:10:00+05:00,check_in
e20,M-DECLINE,2026-07-08T20:10:00+05:00,check_in
e21,M-DECLINE,2026-07-12T17:10:00+05:00,check_in
e22,M-DECLINE,2026-07-13T18:10:00+05:00,check_in
e23,M-DECLINE,2026-07-14T19:10:00+05:00,check_in
e24,M-DECLINE,2026-07-15T20:10:00+05:00,check_in
e25,M-DECLINE,2026-07-19T17:10:00+05:00,check_in
e26,M-DECLINE,2026-07-20T18:10:00+05:00,check_in
e27,M-DECLINE,2026-07-21T19:10:00+05:00,check_in
e28,M-DECLINE,2026-07-22T20:10:00+05:00,check_in
e29,M-DECLINE,2026-07-26T17:10:00+05:00,check_in
e30,M-DECLINE,2026-07-27T18:10:00+05:00,check_in
e31,M-DECLINE,2026-07-28T19:10:00+05:00,check_in
e32,M-DECLINE,2026-07-29T20:10:00+05:00,check_in
e33,M-DECLINE,2026-08-08T19:10:00+05:00,check_in
e34,M-LOYAL,2026-06-07T16:10:00+05:00,check_in
e35,M-LOYAL,2026-06-08T17:10:00+05:00,check_in
e36,M-LOYAL,2026-06-10T16:10:00+05:00,check_in
e37,M-LOYAL,2026-06-12T18:10:00+05:00,check_in
